"gisjoin","year","boundary_year","area_name","source_area_name","state_name","state_code","county_name","county_code","population_total","population_reference_year","church_or_edifice_count","church_count_basis","church_seating_count","church_seating_per_100_population","churches_or_edifices_per_10000_residents","church_property_value","member_count","members_per_100_population","land_area_sq_km","quality_flag"
"G4500010",1850,1850,"Abbeville, South Carolina","Abbeville","South Carolina","450","Abbeville","0010",32318,1850,57,"total number of churches from NHGIS table NT50 (AEX001)",27500,85.0919,17.6372,68430,,,2528.36,"wave_coverage_differs"
"G5100010",1850,1850,"Accomack, Virginia","Accomack","Virginia","510","Accomack","0010",17890,1850,28,"total number of churches from NHGIS table NT50 (AEX001)",6400,35.7742,15.6512,19450,,,1191.02,"wave_coverage_differs"
"G2100010",1850,1850,"Adair, Kentucky","Adair","Kentucky","210","Adair","0010",9898,1850,27,"total number of churches from NHGIS table NT50 (AEX001)",11300,114.1645,27.2782,16700,,,1285.4,"wave_coverage_differs"
"G2900010",1850,1850,"Adair, Missouri","Adair","Missouri","290","Adair","0010",2342,1850,0,"total number of churches from NHGIS table NT50 (AEX001)",0,0,0,0,,,1474.83,"wave_coverage_differs"
"G1700010",1850,1850,"Adams, Illinois","Adams","Illinois","170","Adams","0010",26508,1850,30,"total number of churches from NHGIS table NT50 (AEX001)",8285,31.2547,11.3173,73975,,,2257.19,"wave_coverage_differs"
"G1800010",1850,1850,"Adams, Indiana","Adams","Indiana","180","Adams","0010",5797,1850,5,"total number of churches from NHGIS table NT50 (AEX001)",950,16.3878,8.6252,2900,,,880.51,"wave_coverage_differs"
"G2800010",1850,1850,"Adams, Mississippi","Adams","Mississippi","280","Adams","0010",18601,1850,12,"total number of churches from NHGIS table NT50 (AEX001)",7700,41.3956,6.4513,128500,,,1262.72,"wave_coverage_differs"
"G3900010",1850,1850,"Adams, Ohio","Adams","Ohio","390","Adams","0010",18883,1850,37,"total number of churches from NHGIS table NT50 (AEX001)",19595,103.7706,19.5943,22850,,,1517.18,"wave_coverage_differs"
"G4200010",1850,1850,"Adams, Pennsylvania","Adams","Pennsylvania","420","Adams","0010",25981,1850,48,"total number of churches from NHGIS table NT50 (AEX001)",18850,72.553,18.475,80600,,,1351.37,"wave_coverage_differs"
"G5500010",1850,1850,"Adams, Wisconsin","Adams","Wisconsin","550","Adams","0010",187,1850,,"total number of churches from NHGIS table NT50 (AEX001)",,,,,,,3281.84,"wave_coverage_differs"
"G5000010",1850,1850,"Addison, Vermont","Addison","Vermont","500","Addison","0010",26549,1850,52,"total number of churches from NHGIS table NT50 (AEX001)",21022,79.1819,19.5864,130767,,,2091.97,"wave_coverage_differs"
