"gisjoin","year","boundary_year","area_name","source_area_name","state_name","state_code","county_name","county_code","population_total","population_reference_year","church_or_edifice_count","church_count_basis","church_seating_count","church_seating_per_100_population","churches_or_edifices_per_10000_residents","church_property_value","member_count","members_per_100_population","land_area_sq_km","quality_flag"
"G4500010",1890,1890,"Abbeville, South Carolina","Abbeville","South Carolina","450","Abbeville","0010",46854,1890,180,"total church edifices from NHGIS table NT8 (AWF001)",53250,113.6509,38.4172,230710,,,2528.36,"wave_coverage_differs"
"G2200010",1890,1890,"Acadia, Louisiana","Acadia","Louisiana","220","Acadia","0010",13231,1890,14,"total church edifices from NHGIS table NT8 (AWF001)",3525,26.642,10.5812,24185,,,1718.25,"wave_coverage_differs"
"G5100010",1890,1890,"Accomack, Virginia","Accomack","Virginia","510","Accomack","0010",27277,1890,89,"total church edifices from NHGIS table NT8 (AWF001)",21740,79.7008,32.6282,134462,,,1191.02,"wave_coverage_differs"
"G1600010",1890,1890,"Ada, Idaho","Ada","Idaho","160","Ada","0010",8368,1890,16,"total church edifices from NHGIS table NT8 (AWF001)",2945,35.1936,19.1205,65800,,,6286.85,"wave_coverage_differs"
"G1900010",1890,1890,"Adair, Iowa","Adair","Iowa","190","Adair","0010",14534,1890,25,"total church edifices from NHGIS table NT8 (AWF001)",5555,38.2207,17.201,48650,,,1477,"wave_coverage_differs"
"G2100010",1890,1890,"Adair, Kentucky","Adair","Kentucky","210","Adair","0010",13721,1890,65,"total church edifices from NHGIS table NT8 (AWF001)",17375,126.6307,47.3726,47325,,,1067.57,"wave_coverage_differs"
"G2900010",1890,1890,"Adair, Missouri","Adair","Missouri","290","Adair","0010",17417,1890,36,"total church edifices from NHGIS table NT8 (AWF001)",11075,63.5873,20.6695,56200,,,1474.83,"wave_coverage_differs"
"G1700010",1890,1890,"Adams, Illinois","Adams","Illinois","170","Adams","0010",61888,1890,133,"total church edifices from NHGIS table NT8 (AWF001)",44230,71.4678,21.4904,994575,,,2257.19,"wave_coverage_differs"
"G1800010",1890,1890,"Adams, Indiana","Adams","Indiana","180","Adams","0010",20181,1890,60,"total church edifices from NHGIS table NT8 (AWF001)",18235,90.3573,29.7309,146575,,,880.51,"wave_coverage_differs"
"G1900030",1890,1890,"Adams, Iowa","Adams","Iowa","190","Adams","0030",12292,1890,31,"total church edifices from NHGIS table NT8 (AWF001)",7250,58.9815,25.2197,63125,,,1102.05,"wave_coverage_differs"
"G2800010",1890,1890,"Adams, Mississippi","Adams","Mississippi","280","Adams","0010",26031,1890,53,"total church edifices from NHGIS table NT8 (AWF001)",19419,74.5995,20.3603,325645,,,1262.72,"wave_coverage_differs"
"G3100010",1890,1890,"Adams, Nebraska","Adams","Nebraska","310","Adams","0010",24303,1890,31,"total church edifices from NHGIS table NT8 (AWF001)",6485,26.6839,12.7556,109725,,,1461.33,"wave_coverage_differs"
"G3900010",1890,1890,"Adams, Ohio","Adams","Ohio","390","Adams","0010",26093,1890,79,"total church edifices from NHGIS table NT8 (AWF001)",25380,97.2675,30.2763,91250,,,1517.18,"wave_coverage_differs"
"G4200010",1890,1890,"Adams, Pennsylvania","Adams","Pennsylvania","420","Adams","0010",33486,1890,101,"total church edifices from NHGIS table NT8 (AWF001)",35905,107.2239,30.1619,392260,,,1351.37,"wave_coverage_differs"
"G5300010",1890,1890,"Adams, Washington","Adams","Washington","530","Adams","0010",2098,1890,2,"total church edifices from NHGIS table NT8 (AWF001)",345,16.4442,9.5329,3400,,,4998.31,"wave_coverage_differs"
"G5500010",1890,1890,"Adams, Wisconsin","Adams","Wisconsin","550","Adams","0010",6889,1890,16,"total church edifices from NHGIS table NT8 (AWF001)",2949,42.8074,23.2254,18800,,,1783.34,"wave_coverage_differs"
"G5000010",1890,1890,"Addison, Vermont","Addison","Vermont","500","Addison","0010",22277,1890,54,"total church edifices from NHGIS table NT8 (AWF001)",16031,71.9621,24.2402,234150,,,2091.97,"wave_coverage_differs"
"G4500030",1890,1890,"Aiken, South Carolina","Aiken","South Carolina","450","Aiken","0030",31822,1890,99,"total church edifices from NHGIS table NT8 (AWF001)",31250,98.2025,31.1106,118913,,,2799.17,"wave_coverage_differs"
"G2700010",1890,1890,"Aitkin, Minnesota","Aitkin","Minnesota","270","Aitkin","0010",2462,1890,3,"total church edifices from NHGIS table NT8 (AWF001)",450,18.2778,12.1852,3600,,,5167.87,"wave_coverage_differs"
"G1200010",1890,1890,"Alachua, Florida","Alachua","Florida","120","Alachua","0010",22934,1890,139,"total church edifices from NHGIS table NT8 (AWF001)",30920,134.8217,60.6087,144780,,,3456.6,"wave_coverage_differs"
"G3700010",1890,1890,"Alamance, North Carolina","Alamance","North Carolina","370","Alamance","0010",18271,1890,81,"total church edifices from NHGIS table NT8 (AWF001)",28400,155.4376,44.3325,80150,,,994.24,"wave_coverage_differs"
"G0600010",1890,1890,"Alameda, California","Alameda","California","060","Alameda","0010",93864,1890,107,"total church edifices from NHGIS table NT8 (AWF001)",37650,40.1112,11.3995,1394311,,,1928.1,"wave_coverage_differs"
"G3600010",1890,1890,"Albany, New York","Albany","New York","360","Albany","0010",164555,1890,173,"total church edifices from NHGIS table NT8 (AWF001)",87652,53.2661,10.5132,4733200,,,1381.04,"wave_coverage_differs"
"G5600010",1890,1890,"Albany, Wyoming","Albany","Wyoming","560","Albany","0010",8865,1890,5,"total church edifices from NHGIS table NT8 (AWF001)",1100,12.4083,5.6402,56200,,,11368.04,"wave_coverage_differs"
"G5100030",1890,1890,"Albemarle, Virginia","Albemarle","Virginia","510","Albemarle","0030",32379,1890,98,"total church edifices from NHGIS table NT8 (AWF001)",34125,105.3924,30.2665,225420,,,1907.31,"wave_coverage_differs"
"G2600010",1890,1890,"Alcona, Michigan","Alcona","Michigan","260","Alcona","0010",5409,1890,3,"total church edifices from NHGIS table NT8 (AWF001)",530,9.7985,5.5463,8200,,,1798.79,"wave_coverage_differs"
"G2800030",1890,1890,"Alcorn, Mississippi","Alcorn","Mississippi","280","Alcorn","0030",13115,1890,66,"total church edifices from NHGIS table NT8 (AWF001)",18300,139.5349,50.3241,43735,,,1039.52,"wave_coverage_differs"
"G1700030",1890,1890,"Alexander, Illinois","Alexander","Illinois","170","Alexander","0030",16563,1890,44,"total church edifices from NHGIS table NT8 (AWF001)",12510,75.5298,26.5652,125425,,,654.01,"wave_coverage_differs"
"G3700030",1890,1890,"Alexander, North Carolina","Alexander","North Carolina","370","Alexander","0030",9430,1890,41,"total church edifices from NHGIS table NT8 (AWF001)",16840,178.579,43.4783,29825,,,681.59,"wave_coverage_differs"
"G5100035",1890,1890,"Alexandria, Virginia","Alexandria","Virginia","510","Alexandria","0035",18597,1890,40,"total church edifices from NHGIS table NT8 (AWF001)",10300,55.3853,21.5088,34197,,,85.38,"wave_coverage_differs"
"G2600030",1890,1890,"Alger, Michigan","Alger","Michigan","260","Alger","0030",1238,1890,,"total church edifices from NHGIS table NT8 (AWF001)",,,,,,,2427.06,"wave_coverage_differs"
"G1900050",1890,1890,"Allamakee, Iowa","Allamakee","Iowa","190","Allamakee","0050",17907,1890,53,"total church edifices from NHGIS table NT8 (AWF001)",12775,71.3408,29.5974,161850,,,1706.21,"wave_coverage_differs"
